"","Time","variable","mean","sd1"
"1","AD","Akkermansia",0.00622643358770949,0.01322161575
"2","AD","Alistipes",0.00414883842215324,0.00194775841000111
"3","AD","Allobaculum",0.000168471408014175,0.000478738112895716
"4","AD","Alloprevotella",3.17591386921586e-05,0.000152311478493115
"5","AD","Anaeroplasma",0.00509450149344377,0.00424707832941697
"6","AD","Anaerotruncus",0.00089388974500253,0.00115775604553255
"7","AD","Anaerovoracaceae_Family_XIII_UCG-001",3.2458574743983e-05,0.000155665855958996
"8","AD","Bacillus",0.010684663431888,0.00807069107395062
"9","AD","Bacteroides",0.0102312023053844,0.00852531826376635
"10","AD","Bifidobacterium",0.0196528429758052,0.0173211962956083
"11","AD","Blautia",0.00367271638131831,0.00417308356511309
"12","AD","Butyricicoccus",0.0001101647847416,0.000292275532934612
"13","AD","Candidatus_Arthromitus",0.000418907509114255,0.000783243322182788
"14","AD","Clostridia_UCG-014",0.000199653258785352,0.000536372095056934
"15","AD","Clostridia_vadinBB60_group",0.00749694817875416,0.00453815818888813
"16","AD","Colidextribacter",0.00326161497040844,0.00263052645971577
"17","AD","Corynebacterium",0.00082009911464619,0.0026991680829802
"18","AD","Desulfovibrio",0.00311934011520529,0.00254249146219166
"19","AD","Enterorhabdus",0.000231255401204193,0.000363406278010188
"20","AD","Escherichia-Shigella",0.00027626212938783,0.000752489613399594
"21","AD","Eubacterium_nodatum_group",4.73291440545156e-05,0.000163095647313472
"22","AD","Eubacterium_oxidoreducens_group",0.000191658786597664,0.000601032117019401
"23","AD","Eubacterium_xylanophilum_group",0.00452077473541682,0.00470178738310538
"24","AD","Helicobacter",0.00912870008290794,0.00980444163067423
"25","AD","Incertae_Sedis",0.000426630595751137,0.000733562568658838
"26","AD","Intestinimonas",0.000605527298868741,0.000767957501943966
"27","AD","Lachnoclostridium",0.00193445098053413,0.00152864263184509
"28","AD","Lachnospiraceae_A2",0.00556001738178267,0.00521665850420493
"29","AD","Lachnospiraceae_ASF356",0.00364226205759548,0.00261951330896298
"30","AD","Lachnospiraceae_FCS020_group",0.000596017736955134,0.000822715701359333
"31","AD","Lachnospiraceae_GCA-900066575",8.89186627388727e-05,0.000295692673695123
"32","AD","Lachnospiraceae_NK4A136_group",0.0233522462422505,0.0201551143499151
"33","AD","Lachnospiraceae_UCG-001",0.0039491623723757,0.00390085795413308
"34","AD","Lachnospiraceae_UCG-006",0.000485173057738422,0.000850009634082386
"35","AD","Lactobacillus",0.105926210842723,0.0715164701073399
"36","AD","Mucispirillum",0.0148430140528686,0.0279796876709264
"37","AD","Muribaculaceae",0.567153840542291,0.118336292207915
"38","AD","Muribaculum",0.0038224545009495,0.00247168962446565
"39","AD","Oscillibacter",0.00480507071058332,0.00426620066710686
"40","AD","Oscillospirales_UCG-010",2.42691938987246e-05,0.000116390965144892
"41","AD","Parasutterella",0.00056625792899874,0.00109875179206654
"42","AD","Prevotellaceae_UCG-001",0.00289732821852162,0.00915147769711214
"43","AD","Rikenellaceae_RC9_gut_group",0.0363545833245689,0.032448249825401
"44","AD","Roseburia",0.0186973337853999,0.0343017822290368
"45","AD","Staphylococcus",0.00039630806817911,0.00149272653027128
"46","AD","Unclassified",0.113212436769048,0.0957876585727254
"47","WT","Akkermansia",0.000836218510319688,0.00188492494364454
"48","WT","Alistipes",0.00530263619776818,0.00435674635326728
"49","WT","Allobaculum",0,0
"50","WT","Alloprevotella",0,0
"51","WT","Anaeroplasma",0.00736351280161621,0.00680219786000263
"52","WT","Anaerotruncus",0.000570682844703348,0.000999413341941972
"53","WT","Anaerovoracaceae_Family_XIII_UCG-001",0,0
"54","WT","Bacillus",0.0121765935175344,0.00838896315909959
"55","WT","Bacteroides",0.00915096321234249,0.00683330187644477
"56","WT","Bifidobacterium",0.00900138751793069,0.00755497266333504
"57","WT","Blautia",0.0018990873861357,0.00184353518380312
"58","WT","Butyricicoccus",0,0
"59","WT","Candidatus_Arthromitus",6.69209663387541e-05,0.000275922212783087
"60","WT","Clostridia_UCG-014",0.000152131293830446,0.000432953988779898
"61","WT","Clostridia_vadinBB60_group",0.00929285508095697,0.00545756130642658
"62","WT","Colidextribacter",0.00496685999850849,0.00675357265459699
"63","WT","Corynebacterium",0,0
"64","WT","Desulfovibrio",0.0069169426972714,0.00669783496742951
"65","WT","Enterorhabdus",0.000240630223092856,0.000449237666179117
"66","WT","Escherichia-Shigella",7.46491489997012e-05,0.000307786326188239
"67","WT","Eubacterium_nodatum_group",0,0
"68","WT","Eubacterium_oxidoreducens_group",8.45465663244272e-05,0.000259116033261362
"69","WT","Eubacterium_xylanophilum_group",0.005075289676922,0.00395039266928197
"70","WT","Helicobacter",0.00665147711261712,0.00714863962527382
"71","WT","Incertae_Sedis",0.000680273357109196,0.0008205838380889
"72","WT","Intestinimonas",0.000750135609840861,0.000964118730313402
"73","WT","Lachnoclostridium",0.00152473534799824,0.00119689296374218
"74","WT","Lachnospiraceae_A2",0.00395337583045985,0.00628379125191193
"75","WT","Lachnospiraceae_ASF356",0.00344989221852729,0.00243694804413887
"76","WT","Lachnospiraceae_FCS020_group",0.000539177726882572,0.00078589168554676
"77","WT","Lachnospiraceae_GCA-900066575",0.000132306299041582,0.000383346149234264
"78","WT","Lachnospiraceae_NK4A136_group",0.0377307499362731,0.0375884513087784
"79","WT","Lachnospiraceae_UCG-001",0.00370344630726272,0.00607157668837046
"80","WT","Lachnospiraceae_UCG-006",0.0011831286082768,0.00246976447880852
"81","WT","Lactobacillus",0.0828884952434232,0.0322298395944285
"82","WT","Mucispirillum",0.0383695818687476,0.0659205106039258
"83","WT","Muribaculaceae",0.565623313328283,0.154581405069838
"84","WT","Muribaculum",0.00473319153616704,0.00399091969939026
"85","WT","Oscillibacter",0.00519082579261201,0.00331913070065603
"86","WT","Oscillospirales_UCG-010",2.1468441391155e-05,8.85166514731142e-05
"87","WT","Parasutterella",0.000213957357986003,0.00048239773496578
"88","WT","Prevotellaceae_UCG-001",0.000223947446999104,0.000923358978564719
"89","WT","Rikenellaceae_RC9_gut_group",0.0302288099528983,0.0166170819487608
"90","WT","Roseburia",0.0221772291340411,0.0244703818371575
"91","WT","Staphylococcus",9.97437677767714e-05,0.000284634954835941
"92","WT","Unclassified",0.11675883013479,0.0861823916828961
