"","Time","variable","mean","sd1"
"1","AD","Akkermansia",0.0262244090977907,0.0962239492341875
"2","AD","Alistipes",0.00532931487180117,0.00520362879616245
"3","AD","Allobaculum",0.000352570711654848,0.000820728096864244
"4","AD","Anaeroplasma",0.0136198884547627,0.0162097808373324
"5","AD","Anaerotruncus",0.000817643729701932,0.000876044148742222
"6","AD","Anaerovoracaceae_Family_XIII_UCG-001",7.17070168161519e-05,0.000165551614777848
"7","AD","Bacillus",0.0102030246225534,0.00947360593207217
"8","AD","Bacteroides",0.0100544740188363,0.0196539979220009
"9","AD","Bifidobacterium",0.0512533256767813,0.0731204525809597
"10","AD","Blautia",0.00260190691346167,0.0028320978895498
"11","AD","Butyricicoccaceae_UCG-009",7.29643013802863e-05,0.00021239144169565
"12","AD","Butyricicoccus",0.00027779519406243,0.000434949964316241
"13","AD","Clostridia_UCG-014",9.38512968972569e-05,0.000250825691793624
"14","AD","Clostridia_vadinBB60_group",0.0134788916235012,0.0112747912196256
"15","AD","Colidextribacter",0.00323887332995253,0.00154635580843841
"16","AD","Desulfovibrio",0.00239393124926805,0.00224948442572015
"17","AD","Dubosiella",0.000613223581973582,0.00250733368277884
"18","AD","Enterorhabdus",5.92133168979931e-05,0.000173470594969986
"19","AD","Escherichia-Shigella",0.000201561163838049,0.000390253091300238
"20","AD","Eubacterium_nodatum_group",0,0
"21","AD","Eubacterium_oxidoreducens_group",3.01686427127643e-05,0.000127994711048339
"22","AD","Eubacterium_xylanophilum_group",0.00499911504635113,0.00460834112553082
"23","AD","Faecalibaculum",9.43589977977939e-05,0.000278713279671028
"24","AD","Gastranaerophilales",0.0083866431662697,0.0232987753223243
"25","AD","Helicobacter",0.00865379755825441,0.0116291049249284
"26","AD","Incertae_Sedis",0.00101831330723046,0.00120799067008473
"27","AD","Intestinimonas",0.00104780764343752,0.000919745871278731
"28","AD","Lachnoclostridium",0.00277962087830042,0.00197159093012197
"29","AD","Lachnospiraceae_A2",0.00538500371869494,0.00595632150183313
"30","AD","Lachnospiraceae_ASF356",0.0100881702528137,0.0101520761744694
"31","AD","Lachnospiraceae_FCS020_group",0.000694124391907028,0.00127479379565625
"32","AD","Lachnospiraceae_GCA-900066575",0.000275449530201727,0.000636298254784612
"33","AD","Lachnospiraceae_NK4A136_group",0.0608189397407334,0.0740533274112891
"34","AD","Lachnospiraceae_UCG-001",0.00972598475205519,0.0167060427917828
"35","AD","Lachnospiraceae_UCG-006",0.000731715062803437,0.000789133863848202
"36","AD","Lactobacillus",0.0830270651583939,0.0540686668964168
"37","AD","Mucispirillum",0.0379411589544044,0.0517829510537922
"38","AD","Muribaculaceae",0.34438906864382,0.0915896954049971
"39","AD","Muribaculum",0.0027193611093764,0.00327993631404897
"40","AD","Oscillibacter",0.00645952772293003,0.00573452086601365
"41","AD","Oscillospirales_UCG-010",8.40500364111479e-05,0.000248729781012009
"42","AD","Parabacteroides",0.000171061634822886,0.000725753051904715
"43","AD","Parasutterella",0.00103311895532615,0.00206483892690683
"44","AD","Prevotellaceae_UCG-001",0.0307672587228747,0.0602486296481504
"45","AD","Rikenellaceae_RC9_gut_group",0.0389447766804065,0.0478482083687794
"46","AD","Roseburia",0.0138371266724326,0.0158143408960119
"47","AD","Ruminococcus",0.000198185837823483,0.00051559250526753
"48","AD","Turicibacter",0.00429501439392142,0.00627384541471855
"49","AD","Tyzzerella",9.73173969927267e-05,0.000232444643781121
"50","AD","Unclassified",0.180348125218569,0.154394734140047
"51","WT","Akkermansia",0.00508529436420283,0.0183835564898058
"52","WT","Alistipes",0.00730389020029099,0.00460404945492641
"53","WT","Allobaculum",0.000606767951961135,0.00244853474212191
"54","WT","Anaeroplasma",0.00452321212066342,0.00614433729940063
"55","WT","Anaerotruncus",0.00078610832587461,0.000761609564490811
"56","WT","Anaerovoracaceae_Family_XIII_UCG-001",0,0
"57","WT","Bacillus",0.00642602336428073,0.00544808909554985
"58","WT","Bacteroides",0.0195545930462744,0.0318653102856427
"59","WT","Bifidobacterium",0.0449062973974594,0.081503022616432
"60","WT","Blautia",0.00333211774710823,0.0026743659307624
"61","WT","Butyricicoccaceae_UCG-009",0.00020226944592444,0.00042911856713711
"62","WT","Butyricicoccus",0.000235139625967841,0.000351175430803237
"63","WT","Clostridia_UCG-014",0,0
"64","WT","Clostridia_vadinBB60_group",0.00728594677629433,0.00555150713276821
"65","WT","Colidextribacter",0.00443696021663469,0.00222742876171047
"66","WT","Desulfovibrio",0.00229431809630277,0.00208304465502232
"67","WT","Dubosiella",0,0
"68","WT","Enterorhabdus",7.36811081638667e-05,0.000312602467368058
"69","WT","Escherichia-Shigella",0.000186867623010458,0.000571718145920175
"70","WT","Eubacterium_nodatum_group",0.000106122308488279,0.000334069229128019
"71","WT","Eubacterium_oxidoreducens_group",4.29589499895337e-05,0.000126447457541806
"72","WT","Eubacterium_xylanophilum_group",0.00444139473465822,0.00325384362854296
"73","WT","Faecalibaculum",0.00123019415555319,0.00372593339806905
"74","WT","Gastranaerophilales",0.00288118107263656,0.00774448253757497
"75","WT","Helicobacter",0.00453323792925365,0.00816190246340748
"76","WT","Incertae_Sedis",0.00121085920182399,0.0015541003292426
"77","WT","Intestinimonas",0.000956394745561075,0.000873971175256109
"78","WT","Lachnoclostridium",0.00246016745746792,0.00190764823901579
"79","WT","Lachnospiraceae_A2",0.00699767741223036,0.0105794320225967
"80","WT","Lachnospiraceae_ASF356",0.00662462128326986,0.00430813329620462
"81","WT","Lachnospiraceae_FCS020_group",0.000877082166120348,0.00139601499338306
"82","WT","Lachnospiraceae_GCA-900066575",0.00016709502158298,0.000399688188812548
"83","WT","Lachnospiraceae_NK4A136_group",0.0491513726982853,0.0616629965395354
"84","WT","Lachnospiraceae_UCG-001",0.00555424731418189,0.011717535748116
"85","WT","Lachnospiraceae_UCG-006",0.00102764863807241,0.000897323355606298
"86","WT","Lactobacillus",0.111005152377102,0.0854039871484073
"87","WT","Mucispirillum",0.0222722902350728,0.0371442503012245
"88","WT","Muribaculaceae",0.348063161486582,0.123925327205191
"89","WT","Muribaculum",0.00320857725471354,0.00308284566663835
"90","WT","Oscillibacter",0.00784597670402928,0.00458536298103715
"91","WT","Oscillospirales_UCG-010",0.000105467940207998,0.000245140277278345
"92","WT","Parabacteroides",0,0
"93","WT","Parasutterella",0.00155048179807793,0.00276426631973695
"94","WT","Prevotellaceae_UCG-001",0.0429575663590278,0.0790773855301228
"95","WT","Rikenellaceae_RC9_gut_group",0.0567872355502248,0.0623065072986844
"96","WT","Roseburia",0.00877409859314797,0.0213643768259751
"97","WT","Ruminococcus",0,0
"98","WT","Turicibacter",0.0047869373097481,0.0109795418755008
"99","WT","Tyzzerella",0.000119669559833915,0.000407703026086199
"100","WT","Unclassified",0.197021642332642,0.166419044855903
